,year,month,day,headlines
0,2015,3,16,Archives
1,2015,3,16,AAP to launch stir against land bill in Uttar Pradesh
2,2015,3,16,"Church under construction razed in Haryana's Hisar, 'Ram' flag hoisted"
3,2015,3,16,India could face a selloff if US federal reserve increases interest rates
4,2015,3,16,Government holds back awarding 5 coal blocks from round II for examining low bids
5,2015,3,16,Free wi-fi plan: AAP government seeks suggestions from public
6,2015,3,16,China plays down India's worry over growing sea clout
7,2015,3,16,"Rains in north, central India may affect production of wheat, other crops"
8,2015,3,16,Shell out 3 times more in Gurgaon as Haryana government increases excise duty on imported alcohol
9,2015,3,16,"InMobi's Naveen Tewari, IDG Ventures invest money in online home rentals firm NestAway Technologies"
10,2015,3,16,State discoms seek upto 26% hike in power tarrif
11,2015,3,16,KPMG is working globally for consistency in tax policies: John Veihmeyer
12,2015,3,16,Nestle personalises food supply for pilots of solar-powered aircraft Impulse 2
13,2015,3,16,"Chip majors developing wearable, IoT solutions out of India"
14,2015,3,16,World Cup 2015: Bangladesh to play quarter-final against India in Melbourne
15,2015,3,16,"Corporate travel picks up, agencies see 15 per cent uptick"
16,2015,3,16,Standard Life may raise its stake in HDFC joint venture to 35%
17,2015,3,16,GroupM in talks to buy Foxymoron for Rs 180 crore
18,2015,3,16,Oil ministry babus press panic button after paper leak arrests in Delhi
19,2015,3,16,Three game changers for the economy
20,2015,3,16,Lower optimism in manufacturing as fewer companies expect improvement in next 12 months: Markit survey
21,2015,3,16,Mafatlal Industries slaps legal notice on 300 firms for logo misuse
22,2015,3,16,"Crocs ends exclusive deal with Chogori Retail, to open 60 stores in 3 years"
23,2015,3,16,"FM Arun Jaitley, Sebi to discuss Gujarat International Finance Tec-City norms"
24,2015,3,16,Shipping PSUs to recruit next chairman through search-cum-selection committee
25,2015,3,16,Public Health groups unsure on implementation of new tobacco warning rule
26,2015,3,16,"Samsung India expects growth to pick in FY2016, aims to be No 1 MNC"
27,2015,3,16,Hector Beverages plans to expand to over 50 cities
28,2015,3,16,Wipro to begin process to identify and groom successor to CEO TK Kurien later this year
29,2015,3,16,Maharashtra government asks Mhada to review its 104 colonies
30,2015,3,16,Chief Justice HL Dattu calls GM crops dangerous global experiment
31,2015,3,16,Respect ruling on former President Mohammed Nasheed: Maldives
32,2015,3,16,Battle lines drawn between Socialists and IAC Group in AAP
33,2015,3,16,Government shouldn't solely rely on moustache power to deter ATM robbers
34,2015,3,16,Government comes under attack as calendar omits Gandhi’s birth anniversary from holidays
35,2015,3,16,"Police visit to Rahul Gandhi's home: It’s height of idiocy, say ex-police chiefs"
36,2015,3,16,New panel may replace public sector reconstruction board to take quick call on sick PSUs
37,2015,3,16,"Jaypee Group in talks with Heidelberg, JSW to form JV for its existing, greenfield units"
38,2015,3,16,Police visit to Rahul Gandhi's home likely to hit business in Parliament
39,2015,3,16,Masrat Alam's release was a 'legally correct and an overdue step' by PDP government: MHA officials
40,2015,3,16,Congress unlikely to hold AICC session in April; Rahul Gandhi's elevation may happen later this year
41,2015,3,16,"Sensing trouble, Narendra Modi government defers Land Bill in Rajya Sabha"
42,2015,3,16,"Ram mandir is not a forgotten issue: Suresh Joshi, RSS"
43,2015,3,16,"In first foreign visit, Parrikar to push Korean firms to Make in India"
44,2015,3,16,"In first foreign visit, Manohar Parrikar to push Korean firms to Make in India"
45,2015,3,16,Dera Sacha Sauda chief Ram Rahim Singh readying sequel to MSG-Messenger of God
46,2015,3,16,DIPP floats draft cabinet note to raise FDI threshold to Rs 3000 crore from Rs 1200 crore
47,2015,3,16,EU ups FTA ante with eye on India’s vibrant business climate
48,2015,3,16,RSS's Nagpur meet decides on inclusive Hinduism as key strategy for next 3 years
49,2015,3,16,Pre-market: Nifty seen opening lower; WPI inflation data eyed
50,2015,3,16,Bank Nifty will drag down the markets: Mitesh Thacker
51,2015,3,16,Avekshaa: This IT startup company offers 'PASS' solutions in niche categories
52,2015,3,16,Here's how you can become a successful global investor
53,2015,3,16,Financial steps couples should take before starting a family
54,2015,3,16,Yadavs need to make goal-oriented investment to secure their finances
55,2015,3,16,Retail investors buying PSU shares from government could miss out on benefits of better returns
56,2015,3,16,Five smart things to know about subsidy
57,2015,3,16,Here's why you should avoid new fund offers
58,2015,3,16,Five things you need to know when applying for service tax registration
